공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적(㎡),공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
가평 근린공원,근린공원,,,,,23558,,"레일바이크, 매표소","화장실, 주차장",,"화단, 파고라",2015-01-30,경기도 가평군청,031-580-2372,2022-05-24
제5호 문화공원,문화공원,,,,,3000,,,,어린이놀이체험시설,"잔디마당, 소나무동산, 휴게마당",2016-12-26,경기도 가평군청,031-580-4325,2022-05-24
제6호 문화공원,문화공원,,,,,1783,,,,,휴게마당,2016-12-26,경기도 가평군청,031-580-4325,2022-05-24
설악 체육공원(제4호),체육공원,,,,,10168,"테니스장, 족구장, 체력단련장",,"주차장, 화장실, 관리사무소",,"도로, 녹지",2009-09-07,경기도 가평군청,031-580-2503,2022-05-24
제13호 소공원,소공원,,,,,1487.3,,,,,"도로, 광장, 쉼터, 파고라, 앉음벽, 평의자, 디딤석, 녹지",2019-01-31,경기도 가평군청,031-580-2372,2022-05-24
삼송근린10(소청),근린공원,경기도 고양시 덕양구 일영로 201-89,경기도 고양시 덕양구 오금동 산79-1번지,37.66014546,126.9129564,13913,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송근린1(송현),근린공원,,경기도 고양시 덕양구 삼송동 334,37.64876791,126.8772856,28511,체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
대덕2,어린이공원,경기도 고양시 덕양구 덕은2로 16,경기도 고양시 덕양구 덕은동 157-2번지,37.5871527,126.874664,1681,,,,,,2006-12-26,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송소공원1,소공원,,경기도 고양시 덕양구 삼송동 128-5,37.65218549,126.889031,703,,,,,,2007-11-06,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송소공원2,소공원,,경기도 고양시 덕양구 삼송동 303-11,37.65332913,126.8884173,1329,,,,,,2007-11-06,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
화전1,어린이공원,경기도 고양시 덕양구 중앙로62번길 35-26,경기도 고양시 덕양구 덕은동 9-19번지,37.5976936,126.8785618,2304,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
동산1,어린이공원,,경기도 고양시 덕양구 동산동 188-19,37.64257544,126.8925014,3334,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
동산3,어린이공원,,경기도 고양시 덕양구 동산동 56-14,37.64374278,126.8980856,5515,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송3,어린이공원,경기도 고양시 덕양구 삼송로205번안길 88,경기도 고양시 덕양구 삼송동 64-38번지,37.65765454,126.8945305,5453,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
화전7,소공원,,경기도 고양시 덕양구 화전동 169-61,37.59730444,126.8774288,2012,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
화전6,어린이공원,,경기도 고양시 덕양구 화전동 511-18,37.6084689,126.8704224,1673,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
작은봉화공원,어린이공원,경기도 고양시 덕양구 소원로 260,경기도 고양시 덕양구 행신동 1110번지,37.61412262,126.8511236,6698,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
행신나루,근린공원,,"경기도 고양시 덕양구 행신동 1089,1089-1",37.61454927,126.8472837,11139,,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
서두나루,근린공원,경기도 고양시 덕양구 권율대로 202-2,경기도 고양시 덕양구 행신동 1098-1번지,37.61474888,126.8483479,11615,,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
서정,근린공원,,"경기도 고양시 덕양구 행신동 1071,1071-1",37.61883364,126.850922,30236,다목적운동장+게이트볼장+인라인스케이트장+체력단련시설,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
원당2,소공원,,경기도 고양시 덕양구 성사동 863,37.648021,126.847034,748,,,,,,2006-01-16,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
주택재개발(195호),어린이공원,,경기도 고양시 덕양구 행신동 633-98,37.62080644,126.8309823,764,,조합놀이대 등,,,,2006-01-23,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
주공1,어린이공원,,경기도 고양시 덕양구 성사동 873,37.66079608,126.8405687,1942.9,,조합놀이대 등,,,,2006-05-29,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송어린이3(동산),어린이공원,,경기도 고양시 덕양구 동산동 349,37.64324356,126.8846484,2026,,조합놀이대 등,,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송근린3(세솔),근린공원,경기도 고양시 덕양구 세솔로1길 13-16,경기도 고양시 덕양구 삼송동 315번지,37.65190143,126.8892505,88918,게이트볼장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송어린이2(달걀부리),어린이공원,경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼송동 369번지,37.64195969,126.8762715,2159,,조합놀이대 등,화장실,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송근린2(덕수),근린공원,,경기도 고양시 덕양구 동산동 381-2,37.64424741,126.8795367,213515.3,농구장+야외배드민턴장+인라인스케이트장+실내배드민턴장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송근린6(조관),근린공원,경기도 고양시 덕양구 신원2로 24,경기도 고양시 덕양구 신원동 607번지,37.66638285,126.8863592,14983,체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송어린이1(한우물),어린이공원,,경기도 고양시 덕양구 신원동 646,37.66146461,126.8881442,1690,,조합놀이대 등,,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송근린8(한우물숲길),근린공원,,경기도 고양시 덕양구 신원동 580,37.65829826,126.8841486,151319,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송근린9(오금),근린공원,,경기도 고양시 덕양구 오금동 154,37.65996521,126.9038427,41982,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송근린11(오금상촌),근린공원,경기도 고양시 덕양구 오금로 240,경기도 고양시 덕양구 오금동 679번지,37.66307242,126.9188102,12531,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
안산,문화공원,경기도 고양시 일산동구 백석로 57-2,경기도 고양시 일산동구 백석동 1195번지,37.64665861,126.7840125,8437,체력단련시설,,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
알미,근린공원,경기도 고양시 일산동구 중앙로 1087-2,경기도 고양시 일산동구 백석동 1350번지,37.64588208,126.783097,15507,체력단련시설,,화장실,야외음악당,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
호수,근린공원,경기도 고양시 일산동구 호수로 543-2,경기도 고양시 일산동구 장항동 905번지,37.65049642,126.7697348,107849,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4353,2021-05-13
호수,근린공원,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,37.66444643,126.7604431,851730,체력단련시설+게이트볼장+농구장,조합놀이대+그네+시소+흔들말,화장실,생태교육학습센터,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4353,2021-05-13
매봉재,어린이공원,경기도 고양시 일산동구 일산로441번길 52-2,경기도 고양시 일산동구 정발산동 1159번지,37.67142927,126.7761671,4362,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
두루미,어린이공원,경기도 고양시 일산동구 산두로175번길 30,경기도 고양시 일산동구 정발산동 1241번지,37.67260753,126.7818175,5127,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
수정,어린이공원,경기도 고양시 일산동구 무궁화로93번길 32,경기도 고양시 일산동구 정발산동 698번지,37.667494,126.7725147,5793,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
닥밭,어린이공원,,경기도 고양시 일산동구 정발산동 812,37.66629254,126.7754657,2326,,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산 2(중산안골),체육공원,경기도 고양시 일산동구 중산로 217,경기도 고양시 일산동구 중산동 1565번지,37.69157053,126.7798982,82114,체력단련시설,,주차장+화장실,,,1995-12-31,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
달맞이,어린이공원,,경기도 고양시 일산동구 풍동 1240-3,37.67332261,126.8016509,1501,체력단련시설,조합놀이대,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
산수유,어린이공원,경기도 고양시 일산동구 숲속마을2로 146,경기도 고양시 일산동구 풍동 1248번지,37.672816,126.7976815,1623,체력단련시설,조합놀이대,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
식골,어린이공원,,경기도 고양시 일산동구 풍동 1259,37.67018161,126.7983723,5103,,조합놀이대+흔들놀이기구(흔들말)+회전놀이기구,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
느티나무(풍동),어린이공원,,경기도 고양시 일산동구 풍동 1262,37.67010435,126.8005941,2012,체력단련시설,조합놀이대+그네,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
이팝나무,어린이공원,경기도 고양시 일산동구 숲속마을로 50-9,경기도 고양시 일산동구 풍동 1269번지,37.66782817,126.797268,2021,체력단련시설,조합놀이대+그네,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
벚나무(풍동),어린이공원,경기도 고양시 일산동구 숲속마을로 49-63,경기도 고양시 일산동구 풍동 1287번지,37.66460357,126.7977643,6601,체력단련시설+운동장,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
달맞이,근린공원,경기도 고양시 일산동구 숲속마을2로 71-2,경기도 고양시 일산동구 풍동 1228번지,37.67457585,126.8021803,37676,체력단련시설,,,,,2001-05-03,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
식골,근린공원,경기도 고양시 일산동구 숲속마을로 108,경기도 고양시 일산동구 풍동 1257번지,37.67072982,126.7971233,51111,실내배드민턴장+게이트볼장+체력단련시설,,주차장+화장실,,,2001-05-03,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
중산 9(중산추만),어린이공원,,경기도 고양시 일산동구 중산동 1685,37.67951849,126.7800731,1521,체력단련시설+운동장(농구대),조합놀이대+흔들놀이기구(흔들말),,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
하늘자전거(일산2),어린이공원,경기도 고양시 일산동구 하늘마을로 102-2,경기도 고양시 일산동구 중산동 1702번지,37.68051807,126.7846273,1500,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),화장실,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
안곡습지,수변공원,경기도 고양시 일산동구 하늘마을로 39-5,경기도 고양시 일산동구 중산동 1712번지,37.68479831,126.7849888,77829,,,화장실,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
소개울,어린이공원,경기도 고양시 일산동구 소개울2길 43,경기도 고양시 일산동구 중산동 1736번지,37.68382499,126.7901512,1885,체력단련시설+운동장,조합놀이대+흔들놀이기구(흔들말),화장실,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
성아(일산2-2),근린공원,경기도 고양시 일산동구 하늘마을1로 56-2,경기도 고양시 일산동구 중산동 1798번지,37.67821107,126.789259,13329,축구장+체력단련시설,,,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
풍동(풍식사2),문화공원,,경기도 고양시 일산동구 풍동 184,37.66435224,126.8035678,4165,야외배드민턴장,,,,,2002-02-18,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
식사근린1(어침이),근린공원,,경기도 고양시 일산동구 식사동 산157-7,37.68539245,126.8122132,25004,실내다목적체육관+체력단련시설,그네+시소+조합놀이대+흔들말,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
식사어린이2(식사숲속),어린이공원,,경기도 고양시 일산동구 식사동 304-5,37.68095775,126.8149843,2600,,흔들놀이기구+기타,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
식사어린이3(바람놀이),어린이공원,,경기도 고양시 일산동구 식사동 690-1,37.68185273,126.8112637,5210,,조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,화장실,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
식사어린이4(과학),어린이공원,,경기도 고양시 일산동구 식사동 341-1,37.68062413,126.8148151,2600,,조합놀이대+그네+흔들놀이기구+미끄럼틀,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
식사어린이5(올림푸스놀이),어린이공원,,경기도 고양시 일산동구 식사동 164-8,37.68293348,126.8224274,5210,,조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,화장실,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
식사어린이6(저현),어린이공원,,경기도 고양시 일산동구 식사동 산102,37.67170877,126.8118225,2600,,조합놀이대+그네+흔들놀이기구+미끄럼틀,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
식사근린2(식사중앙),근린공원,,경기도 고양시 일산동구 식사동 산122-18,37.67713276,126.8119333,31578,체력단련시설,그네+시소+조합놀이대+흔들말,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
식사근린3(방아고개),근린공원,,경기도 고양시 일산동구 식사동 산105,37.67423648,126.8110443,15220,야외배드민턴장+체력단련시설,,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
일산문화공원,근린공원,,경기도 고양시 일산동구 장항동 845,37.65948674,126.7726989,59048,,,화장실,,,2008-10-31,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
덕이어린이3(잎새),어린이공원,,경기도 고양시 일산서구 덕이동 582-2,37.69780217,126.7503449,3059,체력단련시설,조합놀이대+흔들놀이대,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
탄현일단의주택지168(탄현호곡),어린이공원,,경기도 고양시 일산서구 탄현동 1634-2,37.70192616,126.7665689,1657,배드민턴장+체력단련시설,시소+흔들놀이대,,,,2006-10-02,경기도 고양시 일산서구청,031-8075-7266,2021-05-13
킨텍스2단계(킨텍스온누리),역사공원,경기도 고양시 일산서구 경의로 849,경기도 고양시 일산서구 덕이동 265번지,37.69328797,126.7589475,17019,,,,,,2008-10-31,경기도 고양시,031-929-4800,2021-05-13
사재,어린이공원,경기도 고양시 일산동구 일산로380번길 20-2,경기도 고양시 일산동구 정발산동 1299번지,37.67023631,126.7836826,23274,"체력단련시설+운동장(축구골대,농구대)",조합놀이대+흔들놀이기구(흔들말+시소)+회전놀이기구+그네,화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산태미(중산4),근린공원,,경기도 고양시 일산동구 중산동 1553,37.69821033,126.7832034,13411,체력단련시설,,,,,1991-05-31,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
중산태미,어린이공원,,경기도 고양시 일산동구 중산동 1554-3,37.6932086,126.7824585,1600,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산 3(중산테미어린이),어린이공원,,경기도 고양시 일산동구 중산동 1555-1,37.69737652,126.7805753,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산 1(중산마루),어린이공원,,경기도 고양시 일산동구 중산동 1556-1,37.69493248,126.779291,1600,,조합놀이대+흔들놀이기구(흔들말+시소),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산체육공원,어린이공원,,경기도 고양시 일산동구 중산동 1566-1,37.68865199,126.7788781,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산 6(중산더부골),어린이공원,,경기도 고양시 일산동구 중산동 1573-2,37.69151312,126.7815678,1600,,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산 5(중산안학),어린이공원,,경기도 고양시 일산동구 중산동 1574-1,37.68893675,126.7817682,1600,,조합놀이대+흔들놀이기구(흔들말+시소)+회전놀이기구,,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
느티나무(능곡),어린이공원,경기도 고양시 덕양구 충장로123번길 26,경기도 고양시 덕양구 행신동 1002번지 샘터마을3단지아파트,37.62539857,126.8317576,1500,,없음,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
밤나무(능곡),어린이공원,,경기도 고양시 덕양구 행신동 898,37.62797086,126.8384877,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
가라산,근린공원,경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924번지,37.62518207,126.841994,42290,야외배드민턴장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
단풍나무,어린이공원,경기도 고양시 덕양구 화신로 105,경기도 고양시 덕양구 행신동 953번지 햇빛마을23단지아파트,37.62269983,126.8384469,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
벚나무(능곡),어린이공원,경기도 고양시 덕양구 행신로279번길 84,경기도 고양시 덕양구 행신동 970번지,37.62219264,126.8427752,1500,,조합놀이대 등,화장실,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
살구나무,어린이공원,,경기도 고양시 덕양구 행신동 975,37.61897283,126.8404331,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
회화나무,어린이공원,경기도 고양시 덕양구 충장로 118-30,경기도 고양시 덕양구 행신동 983번지 샘터마을2단지아파트,37.62027602,126.8359194,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
백양,근린공원,경기도 고양시 덕양구 성신로 55,경기도 고양시 덕양구 화정동 1131번지,37.62780403,126.8348018,10663,농구장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
소나무(능곡),어린이공원,경기도 고양시 덕양구 백양로 8,경기도 고양시 덕양구 화정동 1135번지 옥빛마을17단지아파트,37.62652494,126.8331235,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
벽제,어린이공원,,경기도 고양시 덕양구 고양동 1131,37.71485127,126.9030552,2039,,조합놀이대 등,,,,2001-04-09,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
벽제2,어린이공원,,경기도 고양시 덕양구 고양동 729,37.71115767,126.9034457,2461,,조합놀이대 등,,,,2001-04-09,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
밤나무공원,어린이공원,,경기도 고양시 덕양구 행신동 1068-1,37.62086283,126.852481,6726,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
햇살공원,어린이공원,경기도 고양시 덕양구 행신로 278,경기도 고양시 덕양구 행신동 1074-1번지,37.61977212,126.8450412,1570,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
서정나루공원,어린이공원,,경기도 고양시 덕양구 행신동 1088-1,37.61471947,126.8465358,1512,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
서정어린이공원,어린이공원,,경기도 고양시 덕양구 행신동 1096-1,37.61485758,126.8487894,1508,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
서두마루공원,어린이공원,경기도 고양시 덕양구 서정로 38,경기도 고양시 덕양구 행신동 1101-1번지,37.61833519,126.8536525,1533,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
동산2,어린이공원,경기도 고양시 덕양구 고양대로1940번길 57-15,경기도 고양시 덕양구 동산동 63-37번지,37.6434697,126.8948116,1788,,,,,,2007-12-17,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
화수,근린공원,경기도 고양시 덕양구 화수로 71-2,경기도 고양시 덕양구 화정동 852번지,37.6443587,126.8378964,15267,농구장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
자작나무,어린이공원,,경기도 고양시 덕양구 행신동 906,37.62610342,126.8432835,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
참나무(능곡),어린이공원,경기도 고양시 덕양구 충장로152번길 39,경기도 고양시 덕양구 행신동 934번지 햇빛마을20단지아파트,37.62483133,126.838474,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
행신,근린공원,경기도 고양시 덕양구 행신로 197-2,경기도 고양시 덕양구 행신동 978번지,37.61919277,126.8366268,20395,농구장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
은행나무,어린이공원,경기도 고양시 덕양구 화신로 233,경기도 고양시 덕양구 화정동 1127번지 옥빛마을15단지아파트,37.62865494,126.8357424,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
서두물,근린공원,경기도 고양시 덕양구 중앙로 400-2,경기도 고양시 덕양구 행신동 1092-1번지,37.61744579,126.850653,16811,,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4323,2021-05-13
원당1,어린이공원,,경기도 고양시 덕양구 성사동 865,37.658441,126.841941,4406,,조합놀이대 등,,,,2006-01-16,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
삼송근린4(동산꽃맞이/밥할머니),근린공원,,경기도 고양시 덕양구 동산동 371-1,37.64352626,126.8880924,149331,풋살장+인라인스케이트장+게이트볼장+농구장+다목적운동장+배드민턴장+파크골프장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송근린5(송강이야기),근린공원,,경기도 고양시 덕양구 신원동 596,37.66690836,126.8810633,38825,체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
삼송근린7(신원),근린공원,,경기도 고양시 덕양구 신원동 610,37.66793564,126.8903104,16343,멀티코트+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4327,2021-05-13
중산 7(중산어린이),어린이공원,경기도 고양시 일산동구 탄중로 337-2,경기도 고양시 일산동구 중산동 1575-1번지,37.6929569,126.7827654,1600,,조합놀이대+그네+흔들놀이기구(흔들말),화장실,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
중산 4(중산오름),어린이공원,,경기도 고양시 일산동구 중산동 1575-5,37.68784856,126.7828258,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1991-05-31,경기도 고양시 일산동구청,031-8075-6263,2021-05-13
정발산,근린공원,,경기도 고양시 일산동구 마두동 819,37.66235458,126.7797958,644650,축구장+실내배드민턴장+배구장+씨름장+농구장+체력단련장,,주차장+화장실,생태학습장,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4337,2021-05-13
화정 14(용정),어린이공원,경기도 고양시 덕양구 은빛로29번길 31-17,경기도 고양시 덕양구 화정동 921번지,37.63953885,126.8306516,4274.2,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
화정 15(민들레),어린이공원,,경기도 고양시 덕양구 화정동 937,37.63652325,126.8274793,5991.5,,조합놀이대 등,,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
화정 18(꽃우물어린이),어린이공원,경기도 고양시 덕양구 중앙로 646,경기도 고양시 덕양구 화정동 949번지,37.62865718,126.8272144,3960.7,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5267,2021-05-13
